day	wk1	wk2	wk3	wk4	wk5	wk6	cumm	covid	country
25	1	0	0	0	0	0	0	0	5
26	1	0	0	0	0	0	0	2	5
27	1	0	0	0	0	0	2	0	5
28	1	0	0	0	0	0	2	0	5
29	1	0	0	0	0	0	2	0	5
30	0	1	0	0	0	0	2	1	5
31	0	1	0	0	0	0	3	0	5
32	0	1	0	0	0	0	3	17	5
33	0	1	0	0	0	0	20	0	5
34	0	1	0	0	0	0	20	6	5
35	0	1	0	0	0	0	26	7	5
36	0	1	0	0	0	0	33	7	5
37	0	0	1	0	0	0	40	24	5
38	0	0	1	0	0	0	64	0	5
39	0	0	1	0	0	0	64	11	5
40	0	0	1	0	0	0	75	24	5
41	0	0	1	0	0	0	99	15	5
42	0	0	1	0	0	0	114	32	5
43	0	0	1	0	0	0	146	0	5
44	0	0	0	1	0	0	146	34	5
45	0	0	0	1	0	0	180	0	5
46	0	0	0	1	0	0	180	42	5
47	0	0	0	1	0	0	222	24	5
48	0	0	0	1	0	0	246	15	5
49	0	0	0	1	0	0	261	27	5
50	0	0	0	1	0	0	288	0	5
51	0	0	0	0	1	0	288	14	5
52	0	0	0	0	1	0	302	43	5
53	0	0	0	0	1	0	345	19	5
54	0	0	0	0	1	0	364	20	5
55	0	0	0	0	1	0	384	30	5
56	0	0	0	0	1	0	414	29	5
57	0	0	0	0	1	0	443	5	5
58	0	0	0	0	0	1	448	36	5
59	0	0	0	0	0	1	484	13	5
60	0	0	0	0	0	1	497	18	5
61	0	0	0	0	0	1	515	13	5
62	0	0	0	0	0	1	528	14	5
1	1	0	0	0	0	0	0	0	6
2	1	0	0	0	0	0	0	0	6
3	1	0	0	0	0	0	0	0	6
4	1	0	0	0	0	0	0	0	6
5	1	0	0	0	0	0	0	0	6
6	1	0	0	0	0	0	0	0	6
7	1	0	0	0	0	0	0	0	6
8	1	0	0	0	0	0	0	0	6
9	1	0	0	0	0	0	0	0	6
10	1	0	0	0	0	0	0	0	6
11	1	0	0	0	0	0	0	0	6
12	1	0	0	0	0	0	0	0	6
13	1	0	0	0	0	0	0	0	6
14	1	0	0	0	0	0	0	0	6
15	1	0	0	0	0	0	0	0	6
16	1	0	0	0	0	0	0	0	6
17	1	0	0	0	0	0	0	0	6
18	1	0	0	0	0	0	0	0	6
19	1	0	0	0	0	0	0	0	6
20	1	0	0	0	0	0	0	0	6
21	1	0	0	0	0	0	0	0	6
22	1	0	0	0	0	0	0	0	6
23	1	0	0	0	0	0	0	0	6
24	1	0	0	0	0	0	0	0	6
25	1	0	0	0	0	0	0	0	6
26	1	0	0	0	0	0	0	0	6
27	1	0	0	0	0	0	0	0	6
28	1	0	0	0	0	0	0	0	6
29	1	0	0	0	0	0	0	0	6
30	0	1	0	0	0	0	0	0	6
31	0	1	0	0	0	0	0	0	6
32	0	1	0	0	0	0	0	0	6
